EPEX 2022	EPEX 2023	EPEX 2024
0.12470	-0.00360	0.00010
0.12470	-0.00360	0.00010
0.12470	-0.00360	0.00010
0.12470	-0.00360	0.00010
0.12470	-0.00150	0.00001
0.12470	-0.00150	0.00001
0.12470	-0.00150	0.00001
0.12470	-0.00150	0.00001
0.13400	-0.00150	0.00000
0.13400	-0.00150	0.00000
0.13400	-0.00150	0.00000
0.13400	-0.00150	0.00000
0.05880	-0.00500	-0.00001
0.05880	-0.00500	-0.00001
0.05880	-0.00500	-0.00001
0.05880	-0.00500	-0.00001
0.03767	-0.00460	-0.00003
0.03767	-0.00460	-0.00003
0.03767	-0.00460	-0.00003
0.03767	-0.00460	-0.00003
0.03970	-0.00410	-0.00002
0.03970	-0.00410	-0.00002
0.03970	-0.00410	-0.00002
0.03970	-0.00410	-0.00002
0.04059	-0.00360	-0.00005
0.04059	-0.00360	-0.00005
0.04059	-0.00360	-0.00005
0.04059	-0.00360	-0.00005
0.04326	0.00000	-0.00002
0.04326	0.00000	-0.00002
0.04326	0.00000	-0.00002
0.04326	0.00000	-0.00002
0.04966	0.00000	0.00000
0.04966	0.00000	0.00000
0.04966	0.00000	0.00000
0.04966	0.00000	0.00000
0.07005	0.00000	0.00004
0.07005	0.00000	0.00004
0.07005	0.00000	0.00004
0.07005	0.00000	0.00004
0.07679	0.00100	0.00006
0.07679	0.00100	0.00006
0.07679	0.00100	0.00006
0.07679	0.00100	0.00006
0.08410	0.00060	0.00054
0.08410	0.00060	0.00054
0.08410	0.00060	0.00054
0.08410	0.00060	0.00054
0.09474	0.00000	0.00224
0.09474	0.00000	0.00224
0.09474	0.00000	0.00224
0.09474	0.00000	0.00224
0.09680	0.00000	0.00197
0.09680	0.00000	0.00197
0.09680	0.00000	0.00197
0.09680	0.00000	0.00197
0.09717	0.00090	0.00113
0.09717	0.00090	0.00113
0.09717	0.00090	0.00113
0.09717	0.00090	0.00113
0.10127	0.02350	0.00319
0.10127	0.02350	0.00319
0.10127	0.02350	0.00319
0.10127	0.02350	0.00319
0.12660	0.03650	0.04000
0.12660	0.03650	0.04000
0.12660	0.03650	0.04000
0.12660	0.03650	0.04000
0.14997	0.04600	0.08446
0.14997	0.04600	0.08446
0.14997	0.04600	0.08446
0.14997	0.04600	0.08446
0.14633	0.09990	0.06174
0.14633	0.09990	0.06174
0.14633	0.09990	0.06174
0.14633	0.09990	0.06174
0.14028	0.05500	0.06127
0.14028	0.05500	0.06127
0.14028	0.05500	0.06127
0.14028	0.05500	0.06127
0.12188	0.06200	0.05997
0.12188	0.06200	0.05997
0.12188	0.06200	0.05997
0.12188	0.06200	0.05997
0.10261	0.05290	0.05492
0.10261	0.05290	0.05492
0.10261	0.05290	0.05492
0.10261	0.05290	0.05492
0.09746	0.04600	0.04765
0.09746	0.04600	0.04765
0.09746	0.04600	0.04765
0.09746	0.04600	0.04765
0.08516	0.03500	0.03555
0.08516	0.03500	0.03555
0.08516	0.03500	0.03555
0.08516	0.03500	0.03555
0.05708	0.10990	0.02939
0.05708	0.10990	0.02939
0.05708	0.10990	0.02939
0.05708	0.10990	0.02939
0.05259	0.09490	0.01960
0.05259	0.09490	0.01960
0.05259	0.09490	0.01960
0.05259	0.09490	0.01960
0.04897	0.05290	0.02733
0.04897	0.05290	0.02733
0.04897	0.05290	0.02733
0.04897	0.05290	0.02733
0.03494	0.04420	0.01620
0.03494	0.04420	0.01620
0.03494	0.04420	0.01620
0.03494	0.04420	0.01620
0.02956	0.05010	0.00950
0.02956	0.05010	0.00950
0.02956	0.05010	0.00950
0.02956	0.05010	0.00950
0.03397	0.07710	0.01120
0.03397	0.07710	0.01120
0.03397	0.07710	0.01120
0.03397	0.07710	0.01120
0.03452	0.10510	0.04443
0.03452	0.10510	0.04443
0.03452	0.10510	0.04443
0.03452	0.10510	0.04443
0.04180	0.14060	0.05656
0.04180	0.14060	0.05656
0.04180	0.14060	0.05656
0.04180	0.14060	0.05656
0.04895	0.16240	0.06428
0.04895	0.16240	0.06428
0.04895	0.16240	0.06428
0.04895	0.16240	0.06428
0.06001	0.18000	0.06612
0.06001	0.18000	0.06612
0.06001	0.18000	0.06612
0.06001	0.18000	0.06612
0.07009	0.14560	0.07060
0.07009	0.14560	0.07060
0.07009	0.14560	0.07060
0.07009	0.14560	0.07060
0.06626	0.14340	0.07880
0.06626	0.14340	0.07880
0.06626	0.14340	0.07880
0.06626	0.14340	0.07880
0.06454	0.14440	0.09990
0.06454	0.14440	0.09990
0.06454	0.14440	0.09990
0.06454	0.14440	0.09990
0.04696	0.14380	0.10250
0.04696	0.14380	0.10250
0.04696	0.14380	0.10250
0.04696	0.14380	0.10250
0.04906	0.14820	0.11060
0.04906	0.14820	0.11060
0.04906	0.14820	0.11060
0.04906	0.14820	0.11060
0.07499	0.15530	0.10570
0.07499	0.15530	0.10570
0.07499	0.15530	0.10570
0.07499	0.15530	0.10570
0.08500	0.16400	0.10070
0.08500	0.16400	0.10070
0.08500	0.16400	0.10070
0.08500	0.16400	0.10070
0.10000	0.18570	0.11893
0.10000	0.18570	0.11893
0.10000	0.18570	0.11893
0.10000	0.18570	0.11893
0.10990	0.17470	0.08130
0.10990	0.17470	0.08130
0.10990	0.17470	0.08130
0.10990	0.17470	0.08130
0.09990	0.16990	0.07010
0.09990	0.16990	0.07010
0.09990	0.16990	0.07010
0.09990	0.16990	0.07010
0.07700	0.15300	0.06670
0.07700	0.15300	0.06670
0.07700	0.15300	0.06670
0.07700	0.15300	0.06670
0.04616	0.14170	0.05490
0.04616	0.14170	0.05490
0.04616	0.14170	0.05490
0.04616	0.14170	0.05490
0.04629	0.13490	0.05318
0.04629	0.13490	0.05318
0.04629	0.13490	0.05318
0.04629	0.13490	0.05318
0.03293	0.12420	0.05490
0.03293	0.12420	0.05490
0.03293	0.12420	0.05490
0.03293	0.12420	0.05490
0.00031	0.13001	-0.00039
0.00031	0.13001	-0.00039
0.00031	0.13001	-0.00039
0.00031	0.13001	-0.00039
-0.00001	0.12000	-0.00161
-0.00001	0.12000	-0.00161
-0.00001	0.12000	-0.00161
-0.00001	0.12000	-0.00161
-0.00007	0.11876	-0.00139
-0.00007	0.11876	-0.00139
-0.00007	0.11876	-0.00139
-0.00007	0.11876	-0.00139
-0.00105	0.11500	-0.00131
-0.00105	0.11500	-0.00131
-0.00105	0.11500	-0.00131
-0.00105	0.11500	-0.00131
-0.00100	0.11363	-0.00139
-0.00100	0.11363	-0.00139
-0.00100	0.11363	-0.00139
-0.00100	0.11363	-0.00139
0.00000	0.11627	-0.00195
0.00000	0.11627	-0.00195
0.00000	0.11627	-0.00195
0.00000	0.11627	-0.00195
0.03597	0.13892	0.00105
0.03597	0.13892	0.00105
0.03597	0.13892	0.00105
0.03597	0.13892	0.00105
0.09034	0.15992	0.04063
0.09034	0.15992	0.04063
0.09034	0.15992	0.04063
0.09034	0.15992	0.04063
0.12000	0.16917	0.06830
0.12000	0.16917	0.06830
0.12000	0.16917	0.06830
0.12000	0.16917	0.06830
0.12990	0.17118	0.07590
0.12990	0.17118	0.07590
0.12990	0.17118	0.07590
0.12990	0.17118	0.07590
0.11904	0.16857	0.07320
0.11904	0.16857	0.07320
0.11904	0.16857	0.07320
0.11904	0.16857	0.07320
0.11919	0.16949	0.06920
0.11919	0.16949	0.06920
0.11919	0.16949	0.06920
0.11919	0.16949	0.06920
0.12000	0.16450	0.06000
0.12000	0.16450	0.06000
0.12000	0.16450	0.06000
0.12000	0.16450	0.06000
0.12262	0.16091	0.05886
0.12262	0.16091	0.05886
0.12262	0.16091	0.05886
0.12262	0.16091	0.05886
0.13818	0.16306	0.06086
0.13818	0.16306	0.06086
0.13818	0.16306	0.06086
0.13818	0.16306	0.06086
0.14310	0.16679	0.07600
0.14310	0.16679	0.07600
0.14310	0.16679	0.07600
0.14310	0.16679	0.07600
0.13600	0.16657	0.07900
